address,price,lat,lon,property_id,rooms,area,cafe_count,cafe_present,restaurant_count,restaurant_present,bar_count,bar_present,pub_count,pub_present,fast_food_count,fast_food_present,school_count,school_present,university_count,university_present,library_count,library_present,hospital_count,hospital_present,clinic_count,clinic_present,pharmacy_count,pharmacy_present,bank_count,bank_present,atm_count,atm_present,bus_station_count,bus_station_present,parking_count,parking_present,total_amenities
"Bläsiring 10, 4057 Basel",2880,47.5683969,7.5871397,4002065802,4.5,115.0,2,1,4,1,1,1,2,1,1,1,0,0,0,0,1,1,0,0,0,0,2,1,0,0,1,1,0,0,1,1,15
"Erlenmattstr. 75, 4058 Basel",2880,47.5705088,7.6031744,4002039809,4.5,115.0,1,1,4,1,3,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,12
"Käferholzstrasse 60, 8057 Zürich",2880,47.4025426,8.532090116551142,4001947102,4.5,115.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Fahrnstrasse 25, 9402 Mörschwil",2880,47.4639669,9.432168388679248,4002080979,4.5,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
"weidstrasse 11, 8620 Wetzikon ZH",2880,47.3313055,8.797855599364542,4002077272,4.5,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"Muttenzerstrasse 129, 4127 Birsfelden",2880,47.5447189,7.62688715,4002059199,4.5,115.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
"Volkmarstrasse 15, 8006 Zürich",2880,47.38532765,8.543725200223658,4002058756,4.5,115.0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Niklaus Konrad-Strasse 4, 4500 Solothurn",2880,47.20451390210879,7.539104019684887,4002053936,4.5,115.0,5,1,19,1,3,1,1,1,7,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,2,1,42
"Hölzliweg 9, 8405 Winterthur",2880,47.4859972,8.77093975,4002014835,4.5,115.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
"Weidmannstrasse 13, 8046 Zürich",2880,47.42325975,8.502611041329322,4001972648,4.5,115.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Ahornweg 23, 2542 Pieterlen",2880,47.17285930609854,7.338240061537902,4001669568,4.5,115.0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3
"Via Sasso Corbaro 23, 6593 Cadenazzo",2880,46.15130057952928,8.944419531213565,4001668530,4.5,115.0,0,0,3,1,1,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,10
"Niklaus Konrad-Strasse 4, 4500 Solothurn",2880,47.20451390210879,7.539104019684887,4002053939,4.5,115.0,5,1,19,1,3,1,1,1,7,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,2,1,42
"Seeblickstr. 12, 9010 St. Gallen",2880,47.44059395,9.37778435,4002039822,4.5,115.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
"Bellerivestrasse 49, 8008 Zürich",2880,47.3566457,8.551761367777775,4002033013,4.5,115.0,3,1,7,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,15
"Ludwigstr. 5, 9010 St. Gallen",2880,47.43990895,9.377419517139655,4002028634,4.5,115.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
